Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
1	NCT03769298	CIRTEN-Simultaneous Pancreas-Kidney Transplant Recipients	Recruiting	No Results Available	Kidney Pancreas Transplantation	Drug: Envarsus XR	All	18 Years to 70 Years   (Adult, Older Adult)	Phase 2|Phase 3	30	Interventional	February 15, 2019	University of Wisconsin, Madison, Wisconsin, United States	https://ClinicalTrials.gov/show/NCT03769298
2	NCT03653546	First Line Treatment in EGFR Mutation Positive Advanced NSCLC Patients With Central Nervous System Metastases	Recruiting	No Results Available	Non-small Cell Lung Cancer|EGFR Gene Mutation|Brain Metastases	Drug: AZD3759|Drug: Erlotinib|Drug: Gefitinib	All	18 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	300	Interventional	October 29, 2018	China site 0104, Hefei, Anhui, China|China site 0108, Fuzhou, Fujian, China|China site 0128, Xiamen, Fujian, China|China site 0101, Guangzhou, Guangdong, China|China site 0132, Guangzhou, Guangdong, China|China site 0110, Haerbin, Heilongjiang, China|China site 0109, Zhengzhou, Henan, China|China site 0131, Zhengzhou, Henan, China|China site 0111, Wuhan, Hubei, China|China site 0112, Wuhan, Hubei, China|China site 0114, Wuhan, Hubei, China|China site 0142, Yichang, Hubei, China|China site 0113, Changsha, Hunan, China|China site 0122, Nanjing, Jiangsu, China|China site 0118, Nanjing, Jiangsu, China|China site 0124, Suzhou, Jiangsu, China|China site 0125, Wuxi, Jiangsu, China|China site 0126, Xuzhou, Jiangsu, China|China site 0119, Yangzhou, Jiangsu, China|China site 0116, Changchun, Jilin, China|China site 0117, Changchun, Jilin, China|China site 0127, Xi'an, Shaanxi, China|China site 0123, Jinan, Shandong, China|China site 0121, Linyi, Shandong, China|China site 0138, Weifang, Shandong, China|China site 0140, Yantai, Shandong, China|China site 0135, Shenyang, Shenyang, China|China site 0141, Chengdu, Sichuan, China|China site 0129, Kunming, Yunnan, China|China site 0136, Hangzhou, Zhejiang, China|China site 0137, Hangzhou, Zhejiang, China|China site 0115, Hangzhou, Zhejiang, China|China site 0102, Beijing, China|China site 0133, Beijing, China|China site 0105, Beijing, China|China site 0130, Beijing, China|China site 0106, Chongqing, China|China site 0120, Chongqing, China|China site 0134, Chongqing, China|China site 0103, Shanghai, China|China site 0107, Shanghai, China|China site 0139, Tianjin, China|Korea Site 0203, Chungbuk, Korea, Republic of|Korea site 0210, Daegu, Korea, Republic of|Korea site 0209, Gyeonggi-do, Korea, Republic of|Korea site 0206, Gyeongsang, Korea, Republic of|Korea site 0205, Incheon, Korea, Republic of|Korea Site 0202, Seoul, Korea, Republic of|Korea site 0212, Seoul, Korea, Republic of|Korea Site 0201, Seoul, Korea, Republic of|Korea site 0204, Seoul, Korea, Republic of|Korea site 0211, Seoul, Korea, Republic of|Korea site 0207, Suwon, Korea, Republic of|Korea site 0208, Ulsan, Korea, Republic of|Singapore site 0301, Singapore, Singapore|Taiwan site 0403, Taichung, Taiwan|Taiwan site 0404, Tainan, Taiwan|Taiwan site 0401, Taipei, Taiwan|Taiwan site 0402, Taoyuan, Taiwan	https://ClinicalTrials.gov/show/NCT03653546
3	NCT03641209	Extremely Low Gestatonal Age Infants' Paracetamol Study	Recruiting	No Results Available	Prematurity; Extreme|Low Birthweight, Extremely (999 Grams or Less)	Drug: Paracetamol 10mg/mL infusion solution|Other: Placebo	All	up to 96 Hours   (Child)	Phase 1|Phase 2	40	Interventional	September 3, 2018	Department of Pediatrics, Oulu University Hospital, Oulu, Finland	https://ClinicalTrials.gov/show/NCT03641209
4	NCT03601000	Efficacy Study of Yi-Zhi-An-Shen Granules For Older Adults With Amnestic Mild Cognitive Impairment	Recruiting	No Results Available	Cognitive Dysfunction	Drug: Yi-Zhi-An-Shen|Drug: Placebo	All	60 Years to 85 Years   (Adult, Older Adult)	Phase 1|Phase 2	80	Interventional	April 21, 2018	Teaching Hospital of Chengdu University of Traditional Chinese Medicine, Chengdu, Sichuan, China|Welfare Institution of Emei Civil Administration, Leshan, Sichuan, China	https://ClinicalTrials.gov/show/NCT03601000
5	NCT03498196	A Window of Opportunity Trial: Avelumab in Non-metastatic Muscle Invasive Bladder Cancer	Recruiting	No Results Available	Bladder Cancer|Metastatic Bladder Cancer|Invasive Bladder Cancer	Drug: Avelumab	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	10	Interventional	December 14, 2018	Baylor Clinic, Houston, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Ben Taub General Hospital, Houston, Texas, United States|Michael E. DeBakey Veteran Affairs Medical Center, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT03498196
6	NCT03453255	DCHA as Postremission Therapy for AML With t(8;21)	Recruiting	No Results Available	Chemotherapy	Drug: Chemotherapy	All	14 Years to 65 Years   (Child, Adult, Older Adult)	Phase 1|Phase 2	120	Interventional	January 1, 2018	Chinese PLA General Hospital, Beijing, China	https://ClinicalTrials.gov/show/NCT03453255
7	NCT03420976	Novel Supplement-based Therapy for the Treatment of Small Intestinal Bacterial Overgrowth	Recruiting	No Results Available	Small Intestinal Bacterial Overgrowth	Dietary Supplement: Novel Supplement Based Therapy	All	19 Years to 84 Years   (Adult, Older Adult)	Phase 1|Phase 2	10	Interventional	December 7, 2017	Good Medicine, Oxford, Ohio, United States	https://ClinicalTrials.gov/show/NCT03420976
8	NCT03395288	Nutraceutical Efficacy for rUTI	Recruiting	No Results Available	Urinary Tract Infections	Drug: D-Mannose	Female	20 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	180	Interventional	March 22, 2018	Washington University School of Medicine, Saint Louis, Missouri, United States	https://ClinicalTrials.gov/show/NCT03395288
9	NCT03361345	Topical 5% Tranexamic Acid as a Treatment for Postinflammatory Hyperpigmentation Due to Acne Vulgaris	Recruiting	No Results Available	Postinflammatory Hyperpigmentation	Drug: Tranexamic Acid|Drug: Vehicle	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2|Phase 3	25	Interventional	November 1, 2018	WSUPG Dermatology, Dearborn, Michigan, United States	https://ClinicalTrials.gov/show/NCT03361345
10	NCT03354611	Contrast-Enhanced Cone Beam Breast CT for Diagnostic Breast Imaging	Recruiting	No Results Available	Breast Cancer	Radiation: Contrast Enhanced Cone Beam Breast CT Scan|Drug: Contrast Dye, Iodinated	Female	35 Years and older   (Adult, Older Adult)	Phase 2|Phase 3	100	Interventional	September 10, 2018	UR Medicine Breast Imaging, Rochester, New York, United States	https://ClinicalTrials.gov/show/NCT03354611
11	NCT03334175	Walnuts to Achieve Lasting NUTrition to Prevent Diabetes	Recruiting	No Results Available	PreDiabetes|Overweight and Obesity	Drug: Walnuts	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 1|Phase 2	40	Interventional	May 21, 2018	University of California, San Francisco, San Francisco, California, United States	https://ClinicalTrials.gov/show/NCT03334175
12	NCT03317327	REirradiation and Programmed Cell Death Protein 1 (PD-1) Blockade On Recurrent Squamous Cell Head and Neck Tumors	Recruiting	No Results Available	Head and Neck Squamous Cell Carcinoma	Drug: Nivolumab|Radiation: Radiotherapy (RT)	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	20	Interventional	September 9, 2017	Oslo University Hospital, Oslo, Norway	https://ClinicalTrials.gov/show/NCT03317327
13	NCT03262961	Use of Sildenafil Citrate in Management of Mild Pre-eclampsia	Recruiting	No Results Available	Pre-Eclampsia; Mild	Drug: Sildenafil 20 MG|Drug: Placebo Oral Tablet	Female	18 Years to 35 Years   (Adult)	Phase 2|Phase 3	80	Interventional	September 15, 2016	Assiut Univeristy Hospitals, Assiut, Egypt	https://ClinicalTrials.gov/show/NCT03262961
14	NCT03227731	Immediate or Deferred Pre-exposure Prophylaxis for HIV Prevention: Safe Options for Pregnant and Lactating Women	Recruiting	No Results Available	HIV-1-infection	Drug: Truvada	Female	18 Years to 50 Years   (Adult)	Phase 2|Phase 3	842	Interventional	September 28, 2017	University of KwaZulu-Natal, Durban, KwaZulu-Natal, South Africa	https://ClinicalTrials.gov/show/NCT03227731
15	NCT02786836	13C-Methacetin Breath Test for the Prediction of Outcome in in ALI or ALF	Recruiting	No Results Available	Acute Liver Failure	Drug: 13C-Methacetin	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 2|Phase 3	200	Interventional	June 2016	University of Alabama, Birmingham, Birmingham, Alabama, United States|University of California, San Francisco, San Francisco, California, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Northwestern University, Chicago, Illinois, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Michigan, Ann Arbor, Michigan, United States|Ohio State University Medical Center, Columbus, Ohio, United States|Medical University of South Carolina, Charleston, South Carolina, United States|UT Southwestern Medical Center at Dallas, Dallas, Texas, United States|VCU Medical Center, Richmond, Virginia, United States|University of Washington Medical Center, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT02786836
16	NCT01203722	Reduced Intensity, Partially HLA Mismatched BMT to Treat Hematologic Malignancies	Recruiting	No Results Available	Hematologic Malignancies	Drug: Fludarabine|Drug: Cytoxan|Radiation: Total Body Irradiation|Procedure: Allogeneic Blood or Marrow Transplant|Procedure: Peripheral Blood Stem Cell Transplant|Drug: Mycophenolate Mofetil|Drug: Sirolimus|Drug: Tacrolimus	All	6 Months to 75 Years   (Child, Adult, Older Adult)	Phase 1|Phase 2	100	Interventional	September 2010	Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States	https://ClinicalTrials.gov/show/NCT01203722
17	NCT03837717	The Impact of Holding on Stress and Bonding in Mother-Infant Pairs During Therapeutic Hypothermia	Recruiting	No Results Available	Hypoxic-Ischemic Encephalopathy|Neonatal Encephalopathy	Behavioral: Holding|Other: Saliva collection|Behavioral: No Holding	All	up to 2 Days   (Child)	Not Applicable	34	Interventional	December 4, 2018	Maine Medical Center, Portland, Maine, United States	https://ClinicalTrials.gov/show/NCT03837717
18	NCT03836508	Effect of Dialysis Membranes on Inflammatory and Immune Processes in Hemodialysis	Recruiting	No Results Available	Kidney Failure|Renal Insufficiency, Chronic|Dialysis Related Complication	Device: Medium cut-off|Device: High-Flux	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	52	Interventional	September 1, 2018	Sisli Hamidiye Etfal Training and Research Hospital, Istanbul, Turkey	https://ClinicalTrials.gov/show/NCT03836508
19	NCT03833596	Exclusive Enteral Nutrition and Corticosteroids Therapy in Crohn's Disease (EENCD)	Recruiting	No Results Available	Crohn's Disease	Drug: Prednisone|Dietary Supplement: Exclusive Enteral Nutrition	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	100	Interventional	October 25, 2018	McMaster University, Hamilton, ON, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03833596
20	NCT03833531	Effectiveness of PTSD-treatment Compared to Integrated PTSD-PD-treatment in Adult Patients With Comorbid PTSD and CPD	Recruiting	No Results Available	Posttraumatic Stress Disorder (PTSD)|Avoidant Personality Disorder|Dependent Personality Disorder|Obsessive Compulsive Personality Disorder	Behavioral: ImRS|Behavioral: SFT	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	160	Interventional	June 1, 2018	Sinai Centrum, Amstelveen, Noord-Holland, Netherlands	https://ClinicalTrials.gov/show/NCT03833531
21	NCT03833453	Effectiveness of PTSD-treatment Compared to Integrated PTSD-PD-treatment in Adult Patients With Comorbid PTSD and BPD	Recruiting	No Results Available	Posttraumatic Stress Disorder (PTSD)|Borderline Personality Disorder (BPD)	Behavioral: EMDR|Behavioral: DBT	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	160	Interventional	June 1, 2018	Sinai Centrum, Amstelveen, Noord-Holand, Netherlands	https://ClinicalTrials.gov/show/NCT03833453
22	NCT03832712	The Swedish Essential Tremor (SWEET) Trial	Recruiting	No Results Available	Essential Tremor	Procedure: Deep Brain Stimulation|Drug: Best Medical Treatment	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	100	Interventional	June 30, 2018	Sahlgrenska University Hospital, Göteborg, Sweden|Linköping University Hospital, Linköping, Sweden|Lund University Hospital, Lund, Sweden|Karolinska University Hospital, Stockholm, Sweden|Umeå University Hospital, Umeå, Sweden|Akademiska Sjukhuset, Uppsala, Sweden	https://ClinicalTrials.gov/show/NCT03832712
23	NCT03832530	Periconception PrEP for HIV-exposed Ugandan Women	Recruiting	No Results Available	HIV Prevention	Behavioral: Safer conception counseling inclusive of periconception PrEP	Female	18 Years to 35 Years   (Adult)	Not Applicable	150	Interventional	November 27, 2017	Mbarara University of Science and Technology, Mbarara, Uganda	https://ClinicalTrials.gov/show/NCT03832530
24	NCT03830190	Cost-effectiveness of Nursing Interventions for Patients With PD	Recruiting	No Results Available	Parkinson Disease	Other: Parkinson's disease nurse specialist care	All	18 Years and older   (Adult, Older Adult)	Not Applicable	240	Interventional	January 7, 2019	Radboud University Medical Center, Department of Neurology, Nijmegen, Gelderland, Netherlands	https://ClinicalTrials.gov/show/NCT03830190
