NCT03769298	"Kidney Pancreas Transplantation	"
NCT03653546	"Non-small Cell Lung Cancer	EGFR Gene Mutation	Brain Metastases	"
NCT03641209	"Prematurity; Extreme	Low Birthweight, Extremely (999 Grams or Less)	"
NCT03601000	"Cognitive Dysfunction	"
NCT03498196	"Bladder Cancer	Metastatic Bladder Cancer	Invasive Bladder Cancer	"
NCT03453255	"Chemotherapy	"
NCT03420976	"Small Intestinal Bacterial Overgrowth	"
NCT03395288	"Urinary Tract Infections	"
NCT03361345	"Postinflammatory Hyperpigmentation	"
NCT03354611	"Breast Cancer	"
NCT03334175	"PreDiabetes	Overweight and Obesity	"
NCT03317327	"Head and Neck Squamous Cell Carcinoma	"
NCT03262961	"Pre-Eclampsia; Mild	"
NCT03227731	"HIV-1-infection	"
NCT02786836	"Acute Liver Failure	"
NCT01203722	"Hematologic Malignancies	"
NCT03837717	"Hypoxic-Ischemic Encephalopathy	Neonatal Encephalopathy	"
NCT03836508	"Kidney Failure	Renal Insufficiency, Chronic	Dialysis Related Complication	"
NCT03833596	"Crohn's Disease	"
NCT03833531	"Posttraumatic Stress Disorder (PTSD)	Avoidant Personality Disorder	Dependent Personality Disorder	Obsessive Compulsive Personality Disorder	"
NCT03833453	"Posttraumatic Stress Disorder (PTSD)	Borderline Personality Disorder (BPD)	"
NCT03832712	"Essential Tremor	"
NCT03832530	"HIV Prevention	"
NCT03830190	"Parkinson Disease	"
NCT03830008	"Distress	PTSD	Anxiety	Depression	Trauma	Functional Disabilities	Common Mental Health Problems	"
NCT03829748	"Pancreatic Cancer	Pancreatic Neoplasms	"
NCT03828721	"Literacy	Child Development	Parenting	"
NCT03827915	"Atrial Fibrillation	Defibrillators	Persistent Atrial Fibrillation	"
NCT03825146	"Acute Myeloid Leukaemia Recurrent	"
NCT03823456	"Insomnia	Anxiety	Depression	"
NCT03818867	"Preterm Birth	Twin Pregnancy With Antenatal Problem	Twin to Twin Transfusion Syndrome	"
NCT03817489	"Colorectal Cancer	"
NCT03814577	"Oxidative Stress	Morbid Obesity	"
NCT03814330	"Anesthesia	In-vitro Fertilization	Analgesia	"
NCT03813992	"Erectile Dysfunction	"
NCT03813381	"Barrett's Esophagus	Overweight and Obesity	"
NCT03813069	"Trachoma	"
NCT03809286	"Alcohol Use Disorder	"
NCT03807986	"Treatments of Striae Distensae	"
NCT03801772	"Exercise Therapy	"
NCT03799328	"Food Allergy	"
NCT03798483	"Patella Dislocation	Patella Dislocation Recurrent	"
NCT03796923	"Frail Elderly Syndrome	Transitional Care	Frailty	Readmission	Aging	Elderly	"
NCT03796793	"Venous Leg Ulcer	"
NCT03795675	"Vestibular Schwannoma	Meniere Disease	"
NCT03791697	"Patient Satisfaction	"
NCT03790449	"Infertility	"
NCT03786432	"Cervical Radiculopathy	Cervical Disc Disease	"
NCT03783767	"Leadership	Physical Activity	"
NCT03783312	"Postoperative Pain	Myalgia	Headache	"
NCT03783299	"Plasmodium Falciparum Malaria	"
NCT03782974	"Protective Qi Insufficiency (a Condition Term From TCM)	"
NCT03781050	"Peutz-Jeghers Syndrome	"
NCT03778580	"Diabetes Mellitus, Type 2	"
NCT03773575	"Amputation	Amputation; Postoperative, Sequelae	Wound Dehiscence	Seroma	Wound Infection, Surgical	Lymph Leakage	"
NCT03771495	"Anterior Knee Pain Syndrome	Patellofemoral Pain Syndrome	"
NCT03771430	"Gonarthrosis; Primary	Degenerative Joint Disease of Knee	"
NCT03770962	"Sphincter (Anal); Perineal Rupture, Obstetric	Perineal Tear	Pelvic Floor Disorders	Experience, Life	Second Stage of Labor	"
NCT03770507	"Methods of Exercise in Children	"
NCT03767660	"Blue Rubber Bleb Nevus Syndrome	Venous Malformation	"
NCT03761732	"Post Traumatic Stress Disorder	"
NCT03753932	"Head and Neck Neoplasms	Dental Prosthesis	Dentures	Quality of Life	"
NCT03753243	"Prostate Cancer	"
NCT03751878	"Peer Review, Publishing	Completeness of Reporting	"
NCT03749655	"Chronic Obstructive Pulmonary Disease	"
NCT03748914	"Preterm Infant	Term Infant	Transition	"
NCT03747887	"Attention Deficit Hyperactivity Disorder	"
NCT03745209	"Difficult IV Access	"
NCT03743480	"Hematologic Neoplasms	"
NCT03740659	"Cataract	"
NCT03740321	"Embolization	Hemorrhoids	"
NCT03739528	"Cataract	"
NCT03737227	"Lumbar Intervertebral Motion	"
NCT03736382	"Obstructive Sleep Apnea	"
NCT03730454	"Esophageal Atresia	Tracheoesophageal Fistula	"
NCT03729687	"Rectal Cancer	"
NCT03729648	"Stroke	"
NCT03729297	"Salivary Gland Cancer	"
NCT03727321	"Obesity	Metabolic Syndrome	"
NCT03725215	"Parkinson Disease	Freezing of Gait	"
NCT03724383	"Atrial Fibrillation Paroxysmal	"
NCT03723525	"HIV	"
NCT03719235	"Cone Beam Computed Tomography	"
NCT03716219	"Asthma in Children	"
NCT03714139	"Edentulous Alveolar Ridge	"
NCT03711630	"Tinnitus	Noise Induced Tinnitus	Tinnitus, Subjective	Tinnitus, Objective	Tinnitus Aggravated	Tinnitus, Pulsatile	Tinnitus, Spontaneous Oto-Acoustic Emission	Tinnitus, Clicking	Tinnitus, Tensor Tympani Induced	"
NCT03711370	"Opaque Bottles	Conventional, Clear Bottles	"
NCT03709979	"Anesthesia	Intubation	Laryngoscopy	"
NCT03704415	"Sinusitis, Chronic	Asthma	Nasal Polyps	Aspirin Sensitivity	"
NCT03704064	"Obesity	"
NCT03704051	"Breastfeeding	Bottle Feeding	"
NCT03699059	"Kidney Transplant; Complications	Obesity	Physical Activity	Weight Gain	Health Behavior	"
NCT03697837	"Disruptive Behavior	Aggression Childhood	Anger	Non-Compliance, Patient	Irritable Mood	"
NCT03695003	"Cognitive Change	Mood Change	"
NCT03690154	"Advanced Cancer	Solid Tumor	"
NCT03689348	"Cognitive Change	Stress, Psychological	Mood	"
NCT03689049	"Polypharmacy	Inappropriate Prescribing	Aged	Primary Health Care	Quality Improvement	Electronic Health Records	"
NCT03687411	"Spinal Anaesthesia	Obesity	"
NCT03685227	"Electroencephalography	Electrocardiography	Respiratory Rate	Surveys and Questionnaires	"
NCT03682601	"Sexual Pain Disorders	Postmenopausal Symptoms	Vulvovaginal Atrophy	Female Sexual Dysfunction	Dyspareunia	Vulvodynia	Vestibulodynia	Arousal Disorders, Sexual	"
NCT03680833	"Sentinel Lymph Node Biopsy	"
NCT03679689	"Overweight and Obesity	"
NCT03678935	"Celiac Disease	Irritable Bowel Syndrome	Diet Modification	Gluten Sensitivity	"
NCT03675009	"Pollution; Exposure	"
NCT03674996	"Prostate Cancer	"
NCT03668873	"Autism Spectrum Disorder	Sleep Disturbance	"
NCT03667755	"Fast Track Recovery Surgery	"
NCT03667001	"Pain, Postoperative	"
NCT03663075	"Women's Health	Quality of Life	Mental Health	Menopause	Primary Health Care	Sick Leave	"
NCT03658434	"Hormone-refractory Prostate Cancer	"
NCT03654508	"Asthma in Children	"
NCT03648437	"Patent Ductus Arteriosus	"
NCT03648060	"Hip Osteoarthritis	Knee Osteoarthritis	"
NCT03648047	"Rotator Cuff Tear	"
NCT03647007	"Overweight	"
NCT03646357	"Acute Myocardial Infarction	Non-ST Elevation Myocardial Infarction	ST Elevation Myocardial Infarction	"
NCT03646240	"Epilepsy Intractable	"
NCT03645603	"Withdrawal Syndrome	"
NCT03645005	"Cancer-related Problem/Condition	Quality of Life	Stress, Emotional	"
NCT03642769	"Pancreatitis, Acute	"
NCT03638609	"Post-Cardiac Arrest Syndrome	"
NCT03635840	"Cardiogenic Shock	"
NCT03632837	"Cardiac Arrest	Resuscitation	Inflammation	Multi-Organ Disorder	"
NCT03630770	"Candida Infection	Premature Infant	"
NCT03630328	"Innate Immune Cells	"
NCT03628001	"Bile Duct Obstruction	"
NCT03625544	"Spinal Fusion	"
NCT03623880	"Pelvic Floor Disorders	Anxiety	Urinary Urgency	Urinary Incontinence	Nocturia	Urinary Frequency/Urgency	Lower Urinary Tract Symptoms	Urinary Hesitancy	Urinary Straining	"
NCT03620942	"Hypotension	Anesthesia	"
NCT03619720	"Facial Palsy	"
NCT03618108	"Coronary Heart Disease	Chlamydophila Pneumoniae Infections	"
NCT03618017	"Early-stage Breast Cancer	Breast Cancer Female	Survivorship	Cancer Survivors	Transitional Care	"
NCT03615586	"Exanimation	"
NCT03602768	"Aging	Cognitive Decline	"
NCT03602677	"Colorectal Cancer	Colorectal Neoplasms	Gastrointestinal Cancer	Gastrointestinal Neoplasms	Diverticulosis, Colonic	Gastrointestinal Disease	"
NCT03602014	"Hypotension, Orthostatic	Hypotension	Spinal Cord Injuries	"
NCT03600987	"Aphasia	"
NCT03598114	"Program Sustainability	Tobacco Use	"
NCT03593889	"Depressive Symptoms	"
NCT03593148	"Physical Capacity	Leg Strength	Eating Behavior	Life of Quality	"
NCT03591237	"Pain Management	"
NCT03585920	"Appetitive Behavior	Individual Difference	Food Sensitivity	Food Preferences	"
NCT03585192	"Safety Issues	"
NCT03582046	"Acute Kidney Injury	Septic Shock	Resuscitations	"
NCT03579303	"Menstrual Disorders	Polycystic Ovary Syndrome	"
NCT03578848	"Hypertension	"
NCT03578432	"Salivary Gland Dysfunction	Xerostomia	Head and Neck Cancer	"
NCT03577301	"HIV Infections	"
NCT03577106	"Anxiety Disorders Generalized	"
NCT03577054	"Birth Asphyxia	Neonatal Death	"
NCT03575026	"Dementia	"
NCT03568812	"HIV Infections	Immunological Abnormality	"
NCT03567031	"Anesthesia, General	Infant	"
NCT03567018	"Perforator Flap Surgery	"
NCT03565354	"Anemia, Iron-Deficiency	Colorectal Cancer	"
NCT03564665	"Hot Flashes	"
NCT03562546	"Chronic Venous Insufficiency	"
NCT03561961	"Prostate Adenocarcinoma	"
NCT03561103	"Human Immunodeficiency Virus	"
NCT03559751	"Tobacco Use	"
NCT03559179	"Opioid-use Disorder	"
NCT03558763	"COPD	"
NCT03555500	"Fasting	Cardiac Catheterization	"
NCT03553927	"Male Infertility	Obesity	Weight Loss	"
NCT03553004	"Pancreatic Cancer	"
NCT03552523	"Type 2 Diabetes Mellitus	"
NCT03550885	"Colorectal Cancer	"
NCT03543098	"Knee Dislocations	Multiple Ligament Knee Injuries	"
NCT03542383	"Memory Disorders	Word Finding Difficulty	"
NCT03541291	"Congenital Heart Disease	"
NCT03540732	"Calorimetry, Indirect	Exercise Therapy	Critical Care	Muscular Atrophy	"
NCT03540368	"Gastrointestinal Bleeding	"
NCT03540134	"Parkinson Disease	"
NCT03540069	"Cervical Cancer	Behavior	"
NCT03538730	"Pain, Postoperative	"
NCT03538379	"Trauma Injury	Hemorrhage	"
NCT03537612	"Scoliosis	"
NCT03535675	"Adenocarcinoma of the Prostate	"
NCT03534362	"Stent	Sinusitis, Frontal	"
NCT03527927	"Chronic Obstructive Pulmonary Disease	"
NCT03527849	"Knee Osteoarthritis	"
NCT03527121	"Ankle Sprains	"
NCT03526068	"Ultraviolet Rays	"
NCT03526042	"Atherosclerosis	Lupus Nephritis	"
NCT03524703	"Dysphagia	"
NCT03523806	"Spina Bifida	Cerebral Palsy	Health Behavior	"
NCT03523299	"Invasive Ductal Carcinoma, Breast	"
NCT03521960	"Opioid-Related Disorders	Dependency (Psychology)	Pain, Chronic	Opiate Withdrawal Syndrome	"
NCT03519750	"Melatonin	Pharmacokinetics	Safety	"
NCT03519659	"PET/CT Imaging	"
NCT03518216	"Functional Abdominal Pain Syndrome	Anxiety	"
NCT03517397	"Smoking Cessation	"
NCT03516877	"Burnout, Professional	"
NCT03513822	"Neuralgia	Chronic Pain	Inflammation	"
NCT03512691	"Cardiovascular Diseases	Cardiovascular Risk Factor	"
NCT03510195	"Psychological Stress	Depressive Symptoms	Anxiety State	Motivation	"
NCT03508921	"Overactive Bladder	Urinary Tract Infections	"
NCT03508908	"HIV Infections	"
NCT03507647	"Bipolar Disorder	"
NCT03503721	"Benign Prostatic Hyperplasia	Bladder Outlet Obstruction	"
NCT03503162	"Gastrointestinal Disease	Colorectal Cancer	"
NCT03502655	"Pain, Acute	Catheterization, Peripheral	"
NCT03502252	"Child Development	Attachment Disorder	Exposure to Violent Event	Parenting	"
NCT03501316	"Periodontal Diseases	"
NCT03500419	"Prostate Cancer	Penile Diseases	"
NCT03500406	"Erectile Dysfunction	"
NCT03500367	"Uterine Fibroids	"
NCT03496948	"Peripheral Artery Disease	Atherosclerosis	Peripheral Arterial Disease	Arterial Occlusive Diseases	Vascular Diseases	Peripheral Vascular Diseases	Cardiovascular Diseases	"
NCT03495791	"Rheumatoid Arthritis	Arthritis, Rheumatoid	"
NCT03495752	"Fatigue	"
NCT03495661	"Spinal Stenosis	Spinal Stenosis Lumbar	Degeneration Lumbar Spine	Degeneration Spine	Neurogenic Claudication Co-Occurrent and Due to Spinal Stenosis of Lumbar Region	Pseudoclaudication Syndrome	"
NCT03495518	"Pediatric Cancer	Quality of Life	Symptom Screening	"
NCT03495089	"Neuropathy, Diabetic	Diabetes Mellitus, Type 2	"
NCT03494816	"Renal Cell Carcinoma	Metastatic Renal Cell Carcinoma	Non-metastatic Renal Cell Carcinoma	"
NCT03494335	"Perception of Imaging	"
NCT03494205	"Radiation Dermatitis	"
NCT03492476	"Lymphedema of Upper Arm	"
NCT03491059	"E-cigarette Use	"
NCT03491046	"ACL Injury	"
NCT03490812	"PET Imaging	"
NCT03490656	"MRI Imaging	"
NCT03489395	"Atrial Fibrillation	"
NCT03488511	"Surgery	"
NCT03487718	"Alveolar Ridge Preservation	Tooth Extraction	"
NCT03486444	"Portable Ultrasound	"
NCT03486106	"Anesthesia; Functional	Surgery	"
NCT03484533	"ART Adherence	PMTCT	Linkage to Care	HIV	PrEP	"
NCT03484338	"Grief	Depressive Symptoms	Trauma, Psychological	"
NCT03484273	"Postural Tachycardia Syndrome	"
NCT03483935	"Actinic Keratoses	Precancerous Skin Lesion	"
NCT03482908	"Childhood Obesity	"
NCT03481023	"Atrial Fibrillation	"
NCT03479697	"Hypertension	Blood Pressure	Cardiovascular Diseases	Cardiovascular Risk Factor	Autonomic Nervous System Imbalance	"
NCT03478163	"Obstetric Complication	Postpartum Hemorrhage	Postpartum Endometritis	"
