NCT03769298	"Drug: Envarsus XR	"
NCT03653546	"Drug: AZD3759	Drug: Erlotinib	Drug: Gefitinib	"
NCT03641209	"Drug: Paracetamol 10mg/mL infusion solution	Other: Placebo	"
NCT03601000	"Drug: Yi-Zhi-An-Shen	Drug: Placebo	"
NCT03498196	"Drug: Avelumab	"
NCT03453255	"Drug: Chemotherapy	"
NCT03420976	"Dietary Supplement: Novel Supplement Based Therapy	"
NCT03395288	"Drug: D-Mannose	"
NCT03361345	"Drug: Tranexamic Acid	Drug: Vehicle	"
NCT03354611	"Radiation: Contrast Enhanced Cone Beam Breast CT Scan	Drug: Contrast Dye, Iodinated	"
NCT03334175	"Drug: Walnuts	"
NCT03317327	"Drug: Nivolumab	Radiation: Radiotherapy (RT)	"
NCT03262961	"Drug: Sildenafil 20 MG	Drug: Placebo Oral Tablet	"
NCT03227731	"Drug: Truvada	"
NCT02786836	"Drug: 13C-Methacetin	"
NCT01203722	"Drug: Fludarabine	Drug: Cytoxan	Radiation: Total Body Irradiation	Procedure: Allogeneic Blood or Marrow Transplant	Procedure: Peripheral Blood Stem Cell Transplant	Drug: Mycophenolate Mofetil	Drug: Sirolimus	Drug: Tacrolimus	"
NCT03837717	"Behavioral: Holding	Other: Saliva collection	Behavioral: No Holding	"
NCT03836508	"Device: Medium cut-off	Device: High-Flux	"
NCT03833596	"Drug: Prednisone	Dietary Supplement: Exclusive Enteral Nutrition	"
NCT03833531	"Behavioral: ImRS	Behavioral: SFT	"
NCT03833453	"Behavioral: EMDR	Behavioral: DBT	"
NCT03832712	"Procedure: Deep Brain Stimulation	Drug: Best Medical Treatment	"
NCT03832530	"Behavioral: Safer conception counseling inclusive of periconception PrEP	"
NCT03830190	"Other: Parkinson's disease nurse specialist care	"
NCT03830008	"Behavioral: Problem Management Plus	"
NCT03829748	"Procedure: Intermittent aspiration	"
NCT03828721	"Other: Rx for Success Smartphone Application	Other: Control - screen time reduction	"
NCT03827915	"Device: Double sequential external defibrillation	"
NCT03825146	"Biological: Autologous Multi-lineage Potential Cells (AMPC)	"
NCT03823456	"Other: Self-acupressure	Other: Sham Self-acupressure	"
NCT03818867	"Procedure: Insertion of cervical cerclage	"
NCT03817489	"Behavioral: Baduanjin qigong	Behavioral: Mindfulness meditation	"
NCT03814577	"Diagnostic Test: Total Antioxidant Status	Diagnostic Test: Total Oxidant Status	Device: Bispectral Index	Other: Invasive arterial monitorization	"
NCT03814330	"Diagnostic Test: State-Trait Anxiety Inventory	Diagnostic Test: Quality of Recovery Score	Other: Sedation/Analgesia	Device: Laryngeal Mask Airway	"
NCT03813992	"Drug: MED2005	"
NCT03813381	"Behavioral: Calorie and protein restriction diet	"
NCT03813069	"Other: IR3535	Other: Permethrin lower dose	Other: Permethrin higher dose	"
NCT03809286	"Device: active rTMS	Behavioral: Inpatient admission	Device: sham rTMS	"
NCT03807986	"Procedure: Nanofat grafting	Procedure: Microfat grafting	Procedure: Platelet-rich plasma (PRP) Injection	"
NCT03801772	"Device: Metronome	"
NCT03799328	"Other: multi-OIT	"
NCT03798483	"Other: Individualised exercise	"
NCT03796923	"Other: Early follow-up visit after discharge	Other: Comprehensive geriatric assessment (CGA)	Other: Continued geriatric care	Other: Possible follow-up visit from GP	"
NCT03796793	"Procedure: Debridement	"
NCT03795675	"Device: Cochlear Implant	"
NCT03791697	"Other: Telehealth 2 week postoperative visit	"
NCT03790449	"Behavioral: PreLiFe-programme	Behavioral: Attention Control Programme	"
NCT03786432	"Device: Spira-C Interbody Device	"
NCT03783767	"Behavioral: Leadership Intervention	"
NCT03783312	"Drug: placebo	Drug: paracetamol	Drug: ibuprofen	"
NCT03783299	"Diagnostic Test: Standard RDT and HS-RDT	Drug: Artemether-lumefantrine	Drug: Primaquine Phosphate	"
NCT03782974	"Dietary Supplement: beta glucan	"
NCT03781050	"Drug: Rapamycin	"
NCT03778580	"Dietary Supplement: Pyridoxamine Dihydrochloride	Drug: placebo	"
NCT03773575	"Device: PREVENA™ PEEL & PLACE™ Dressing Kit	"
NCT03771495	"Other: Joint Mobilization	Other: Laying on of Hands	"
NCT03771430	"Behavioral: Group osteoarthritis education, exercise and CBT	Procedure: Total Knee Arthroplasty	"
NCT03770962	"Behavioral: Two midwives	"
NCT03770507	"Other: Exercise Training	"
NCT03767660	"Drug: Rapamycin	"
NCT03761732	"Behavioral: Islamic Trauma Healing	"
NCT03753932	"Device: Fixed prosthodontics	"
NCT03753243	"Drug: Pembrolizumab	Drug: Enzalutamide	"
NCT03751878	"Behavioral: Evaluation of reporting inconsistencies	Behavioral: Standard Peer Review.	"
NCT03749655	"Behavioral: Physical Activity Promotion	"
NCT03748914	"Other: Intervention Group	Other: Control Group	"
NCT03747887	"Behavioral: Daily Report Card	Other: School as Usual	"
NCT03745209	"Device: Ultrasound	"
NCT03743480	"Other: early palliative care	"
NCT03740659	"Drug: Levofloxacin + Dexamethasone	Drug: Levofloxacin	Drug: Dexamethasone	"
NCT03740321	"Device: Embolization with tri-acryl gelatin (Embosphere) particles	"
NCT03739528	"Drug: Levofloxacin + dexamethasone followed by dexamethasone	Drug: Tobramycin + Dexamethasone	"
NCT03737227	"Radiation: Cinematographic recording	"
NCT03736382	"Other: Mild intermittent hypoxia	Other: Sham protocol	Other: Continuous positive airway pressure (CPAP)	"
NCT03730454	"Device: Transanastomotic Tube (5FR)	Other: No Transanastomotic Tube	"
NCT03729687	"Combination Product: radiotherapy, capecitabine, oxaliplatin	"
NCT03729648	"Behavioral: Expressive Arts Therapy	"
NCT03729297	"Drug: Cabozantinib	"
NCT03727321	"Combination Product: Fecal Microbial Transplant	Dietary Supplement: Fiber	Dietary Supplement: Cellulose	"
NCT03725215	"Behavioral: Split-Belt Treadmill Training	"
NCT03724383	"Behavioral: Risk Factor Management Consult	Behavioral: Diet Classes	Behavioral: Stress Management Classes	Other: Exercise Classes	Other: Home based exercise program	"
NCT03723525	"Combination Product: Package of HIV care	Combination Product: Standard HIV care	"
NCT03719235	"Other: CBCT	"
NCT03716219	"Other: Exercise Training	"
NCT03714139	"Procedure: immediate loading	Procedure: non implant loading	"
NCT03711630	"Behavioral: Meditation	"
NCT03711370	"Other: Clear Bottle	Other: Opaque Bottle	"
NCT03709979	"Device: C-MAC videolaryngoscope	"
NCT03704415	"Procedure: Extended endoscopic sinus surgery	Procedure: Limited endoscopic sinus surgery	"
NCT03704064	"Behavioral: Stigma-Reduction Intervention	Behavioral: Behavioral Weight Loss (BWL)	"
NCT03704051	"Behavioral: Mode of Feeding (breastfeeding versus bottle-feeding	"
NCT03699059	"Other: ExeRTiOn	"
NCT03697837	"Behavioral: Parent Management Training	"
NCT03695003	"Dietary Supplement: Cognivia	Dietary Supplement: Placebo	"
NCT03690154	"Drug: FN-1501	"
NCT03689348	"Dietary Supplement: Avena sativa	Dietary Supplement: Placebo	"
NCT03689049	"Procedure: SPIDER	Procedure: Usual Care	"
NCT03687411	"Procedure: Neuraxial ultrasonography	"
NCT03685227	"Other: Yoga Nidra	"
NCT03682601	"Drug: Sinecatechins Topical	Other: Placebo	"
NCT03680833	"Procedure: Sentinel node detection in cervical cancer	"
NCT03679689	"Dietary Supplement: artificially sweetened beverages	"
NCT03678935	"Other: Low FODMAP diet	"
NCT03675009	"Other: Educational Programming	"
NCT03674996	"Other: Same day discharge	Other: Next-day discharge	Other: 2-days discharge	"
NCT03668873	"Behavioral: Sleep Parent Training	Behavioral: Sleep Parent Education	"
NCT03667755	"Procedure: fast track recovery surgery with whey protein infused carbohydrate loading and early oral feeding	"
NCT03667001	"Drug: Lidocaine Hydrochloride	Drug: Saline Solution	"
NCT03663075	"Behavioral: Group information (GI)	Behavioral: Structured person-centered support (PCS)	"
NCT03658434	"Radiation: Palliative radiotherapy	"
NCT03654508	"Genetic: ADRB2-genotype guided treatment	Other: Randomisation	"
NCT03648437	"Drug: Paracetamol 10Mg/mL	Drug: 0.45% Sodium Chloride	Drug: Ibuprofen	"
NCT03648060	"Device: Digital kinematic biofeedback system	"
NCT03648047	"Device: Digital kinematic biofeedback device	Other: Conventional rehabilitation	Other: Additional face-to-face rehabilitation sessions	"
NCT03647007	"Other: FIFA 11 for health	"
NCT03646357	"Other: Non-betablocker	Drug: Betablocker	"
NCT03646240	"Drug: ABI-009	"
NCT03645603	"Drug: Dexmedetomidine	Drug: Placebo	"
NCT03645005	"Behavioral: ""My Guide"" (psychoeducation & self-management program)	Behavioral: ""My Health"" (health education program)	"
NCT03642769	"Other: Fluid administration	"
NCT03638609	"Device: Intra Aortic Balloon Pump	"
NCT03635840	"Device: Intra Aortic Balloon Pump	"
NCT03632837	"Device: Hemoadsorption	"
NCT03630770	"Drug: Medium-Chain Triglyceride (MCT) Oil	"
NCT03630328	"Dietary Supplement: Cogni.Q	Other: Placebo	"
