NCT03769298	"Phase 2	Phase 3	"
NCT03653546	"Phase 2	Phase 3	"
NCT03641209	"Phase 1	Phase 2	"
NCT03601000	"Phase 1	Phase 2	"
NCT03498196	"Phase 1	Phase 2	"
NCT03453255	"Phase 1	Phase 2	"
NCT03420976	"Phase 1	Phase 2	"
NCT03395288	"Phase 2	Phase 3	"
NCT03361345	"Phase 2	Phase 3	"
NCT03354611	"Phase 2	Phase 3	"
NCT03334175	"Phase 1	Phase 2	"
NCT03317327	"Phase 1	Phase 2	"
NCT03262961	"Phase 2	Phase 3	"
NCT03227731	"Phase 2	Phase 3	"
NCT02786836	"Phase 2	Phase 3	"
NCT01203722	"Phase 1	Phase 2	"
NCT03837717	"Not Applicable	"
NCT03836508	"Not Applicable	"
NCT03833596	"Phase 4	"
NCT03833531	"Not Applicable	"
NCT03833453	"Not Applicable	"
NCT03832712	"Not Applicable	"
NCT03832530	"Not Applicable	"
NCT03830190	"Not Applicable	"
NCT03830008	"Not Applicable	"
NCT03829748	"Not Applicable	"
NCT03828721	"Not Applicable	"
NCT03827915	"Not Applicable	"
NCT03825146	"Phase 1	"
NCT03823456	"Not Applicable	"
NCT03818867	"Not Applicable	"
NCT03817489	"Not Applicable	"
NCT03814577	"Not Applicable	"
NCT03814330	"Not Applicable	"
NCT03813992	"Phase 3	"
NCT03813381	"Not Applicable	"
NCT03813069	"Phase 2	"
NCT03809286	"Not Applicable	"
NCT03807986	"Not Applicable	"
NCT03801772	"Not Applicable	"
NCT03799328	"Phase 2	"
NCT03798483	"Not Applicable	"
NCT03796923	"Not Applicable	"
NCT03796793	"Not Applicable	"
NCT03795675	"Not Applicable	"
NCT03791697	"Not Applicable	"
NCT03790449	"Not Applicable	"
NCT03786432	"Not Applicable	"
NCT03783767	"Not Applicable	"
NCT03783312	"Not Applicable	"
NCT03783299	"Phase 4	"
NCT03782974	"Not Applicable	"
NCT03781050	"Phase 4	"
NCT03778580	"Not Applicable	"
NCT03773575	"Not Applicable	"
NCT03771495	"Not Applicable	"
NCT03771430	"Not Applicable	"
NCT03770962	"Not Applicable	"
